n_gen,%agr,%clas,%red
2,56.7424,81.8182,31.6667
3,57.3485,86.3636,28.3333
4,60.1515,88.6364,31.6667
5,61.2121,84.0909,38.3333
6,63.7121,84.0909,43.3333
7,65.1515,88.6364,41.6667
8,67.1212,90.9091,43.3333
9,67.1212,90.9091,43.3333
10,67.1212,90.9091,43.3333
11,67.1212,90.9091,43.3333
12,68.7879,90.9091,46.6667
13,68.7879,90.9091,46.6667
14,70.7576,93.1818,48.3333
15,70.7576,93.1818,48.3333
16,70.7576,93.1818,48.3333
17,70.7576,93.1818,48.3333
18,71.2879,90.9091,51.6667
19,71.5909,93.1818,50
20,71.5909,93.1818,50
21,72.4242,93.1818,51.6667
22,72.4242,93.1818,51.6667
23,72.7273,95.4545,50
24,72.7273,95.4545,50
25,73.5606,95.4545,51.6667
26,73.5606,95.4545,51.6667
27,75.2273,95.4545,55
28,75.2273,95.4545,55
29,76.0606,95.4545,56.6667
30,76.0606,95.4545,56.6667
31,76.8939,95.4545,58.3333
32,78.5606,95.4545,61.6667
33,78.5606,95.4545,61.6667
34,78.5606,95.4545,61.6667
35,78.5606,95.4545,61.6667
36,78.5606,95.4545,61.6667
37,79.3939,95.4545,63.3333
38,79.3939,95.4545,63.3333
39,79.3939,95.4545,63.3333
40,79.3939,95.4545,63.3333
41,79.3939,95.4545,63.3333
42,79.3939,95.4545,63.3333
43,79.3939,95.4545,63.3333
44,79.3939,95.4545,63.3333
45,79.3939,95.4545,63.3333
46,79.3939,95.4545,63.3333
47,79.3939,95.4545,63.3333
48,79.3939,95.4545,63.3333
49,79.3939,95.4545,63.3333
50,81.0606,95.4545,66.6667
51,81.8939,95.4545,68.3333
52,81.8939,95.4545,68.3333
53,81.8939,95.4545,68.3333
54,81.8939,95.4545,68.3333
55,81.8939,95.4545,68.3333
56,82.7273,95.4545,70
57,82.7273,95.4545,70
58,82.7273,95.4545,70
59,83.5606,95.4545,71.6667
60,83.5606,95.4545,71.6667
61,83.5606,95.4545,71.6667
62,84.3939,95.4545,73.3333
63,84.3939,95.4545,73.3333
64,84.3939,95.4545,73.3333
65,84.3939,95.4545,73.3333
66,84.3939,95.4545,73.3333
67,84.3939,95.4545,73.3333
68,84.3939,95.4545,73.3333
69,84.3939,95.4545,73.3333
70,84.3939,95.4545,73.3333
71,84.3939,95.4545,73.3333
72,84.3939,95.4545,73.3333
73,84.3939,95.4545,73.3333
74,85.2273,95.4545,75
75,85.2273,95.4545,75
76,85.2273,95.4545,75
77,85.2273,95.4545,75
78,86.0606,95.4545,76.6667
79,86.0606,95.4545,76.6667
80,86.0606,95.4545,76.6667
81,86.0606,95.4545,76.6667
82,86.0606,95.4545,76.6667
83,86.0606,95.4545,76.6667
84,86.8939,95.4545,78.3333
85,87.197,97.7273,76.6667
86,87.197,97.7273,76.6667
87,87.197,97.7273,76.6667
88,87.197,97.7273,76.6667
89,87.197,97.7273,76.6667
90,87.197,97.7273,76.6667
91,87.197,97.7273,76.6667
92,87.197,97.7273,76.6667
93,87.197,97.7273,76.6667
94,87.197,97.7273,76.6667
95,87.197,97.7273,76.6667
96,87.197,97.7273,76.6667
97,87.197,97.7273,76.6667
98,87.197,97.7273,76.6667
99,87.197,97.7273,76.6667
100,87.197,97.7273,76.6667
101,88.0303,97.7273,78.3333
102,88.0303,97.7273,78.3333
103,88.0303,97.7273,78.3333
104,88.0303,97.7273,78.3333
105,88.0303,97.7273,78.3333
106,88.0303,97.7273,78.3333
107,88.0303,97.7273,78.3333
108,88.0303,97.7273,78.3333
109,88.0303,97.7273,78.3333
110,88.0303,97.7273,78.3333
111,88.0303,97.7273,78.3333
112,88.0303,97.7273,78.3333
113,88.0303,97.7273,78.3333
114,88.0303,97.7273,78.3333
115,88.0303,97.7273,78.3333
116,88.0303,97.7273,78.3333
117,88.0303,97.7273,78.3333
118,88.0303,97.7273,78.3333
119,88.0303,97.7273,78.3333
120,88.0303,97.7273,78.3333
121,88.0303,97.7273,78.3333
122,88.0303,97.7273,78.3333
123,88.0303,97.7273,78.3333
124,88.0303,97.7273,78.3333
125,88.0303,97.7273,78.3333
126,88.0303,97.7273,78.3333
127,88.0303,97.7273,78.3333
128,88.0303,97.7273,78.3333
129,88.0303,97.7273,78.3333
130,88.0303,97.7273,78.3333
131,88.0303,97.7273,78.3333
132,88.0303,97.7273,78.3333
