n_gen,%agr,%clas,%red
2,55.5081,92.6829,18.3333
3,57.6219,90.2439,25
4,58.4553,90.2439,26.6667
5,59.7358,87.8049,31.6667
6,59.7358,87.8049,31.6667
7,60.9553,90.2439,31.6667
8,63.8415,92.6829,35
9,63.8415,92.6829,35
10,63.8415,92.6829,35
11,63.8415,92.6829,35
12,63.8415,92.6829,35
13,63.8415,92.6829,35
14,65.1219,90.2439,40
15,65.5081,92.6829,38.3333
16,68.4553,90.2439,46.6667
17,68.4553,90.2439,46.6667
18,68.4553,90.2439,46.6667
19,68.4553,90.2439,46.6667
20,68.8415,92.6829,45
21,68.8415,92.6829,45
22,69.6748,92.6829,46.6667
23,69.7358,87.8049,51.6667
24,69.7358,87.8049,51.6667
25,76.3415,92.6829,60
26,76.3415,92.6829,60
27,76.3415,92.6829,60
28,76.3415,92.6829,60
29,76.3415,92.6829,60
30,76.3415,92.6829,60
31,76.3415,92.6829,60
32,76.3415,92.6829,60
33,76.3415,92.6829,60
34,76.3415,92.6829,60
35,76.3415,92.6829,60
36,76.3415,92.6829,60
37,76.3415,92.6829,60
38,76.3415,92.6829,60
39,76.3415,92.6829,60
40,76.3415,92.6829,60
41,76.3415,92.6829,60
42,76.3415,92.6829,60
43,77.1748,92.6829,61.6667
44,77.1748,92.6829,61.6667
45,77.1748,92.6829,61.6667
46,77.1748,92.6829,61.6667
47,77.1748,92.6829,61.6667
48,77.1748,92.6829,61.6667
49,77.1748,92.6829,61.6667
50,79.2276,95.1219,63.3333
51,79.2276,95.1219,63.3333
52,79.2276,95.1219,63.3333
53,79.2276,95.1219,63.3333
54,79.2276,95.1219,63.3333
55,79.6748,92.6829,66.6667
56,79.6748,92.6829,66.6667
57,79.6748,92.6829,66.6667
58,79.6748,92.6829,66.6667
59,79.6748,92.6829,66.6667
60,81.2805,97.561,65
61,81.2805,97.561,65
62,81.2805,97.561,65
63,81.2805,97.561,65
64,81.2805,97.561,65
65,81.2805,97.561,65
66,81.2805,97.561,65
67,81.2805,97.561,65
68,81.2805,97.561,65
69,81.2805,97.561,65
70,81.2805,97.561,65
71,81.2805,97.561,65
72,81.2805,97.561,65
73,81.2805,97.561,65
74,81.2805,97.561,65
75,81.2805,97.561,65
76,81.7886,90.2439,73.3333
77,81.7886,90.2439,73.3333
78,81.7886,90.2439,73.3333
79,81.7886,90.2439,73.3333
80,81.7886,90.2439,73.3333
81,81.7886,90.2439,73.3333
82,81.7886,90.2439,73.3333
83,81.7886,90.2439,73.3333
84,81.7886,90.2439,73.3333
85,81.7886,90.2439,73.3333
86,81.7886,90.2439,73.3333
87,81.7886,90.2439,73.3333
88,81.7886,90.2439,73.3333
89,81.7886,90.2439,73.3333
90,81.7886,90.2439,73.3333
91,81.7886,90.2439,73.3333
92,81.7886,90.2439,73.3333
93,81.7886,90.2439,73.3333
94,81.7886,90.2439,73.3333
95,83.3943,95.1219,71.6667
96,83.3943,95.1219,71.6667
97,83.3943,95.1219,71.6667
98,83.3943,95.1219,71.6667
99,83.3943,95.1219,71.6667
100,83.3943,95.1219,71.6667
101,83.3943,95.1219,71.6667
102,83.8415,92.6829,75
103,83.8415,92.6829,75
104,83.8415,92.6829,75
105,83.8415,92.6829,75
106,84.6748,92.6829,76.6667
107,84.6748,92.6829,76.6667
108,84.6748,92.6829,76.6667
109,84.6748,92.6829,76.6667
110,84.6748,92.6829,76.6667
111,84.6748,92.6829,76.6667
112,84.6748,92.6829,76.6667
113,84.6748,92.6829,76.6667
114,86.2805,97.561,75
115,87.5,100,75
116,87.5,100,75
117,87.5,100,75
118,87.5,100,75
119,87.5,100,75
120,87.5,100,75
121,87.5,100,75
122,87.5,100,75
123,87.5,100,75
124,87.9472,97.561,78.3333
125,87.9472,97.561,78.3333
126,87.9472,97.561,78.3333
127,87.9472,97.561,78.3333
128,87.9472,97.561,78.3333
129,87.9472,97.561,78.3333
130,87.9472,97.561,78.3333
131,87.9472,97.561,78.3333
132,88.0081,92.6829,83.3333
133,88.0081,92.6829,83.3333
134,88.0081,92.6829,83.3333
135,88.0081,92.6829,83.3333
136,88.0081,92.6829,83.3333
137,88.0081,92.6829,83.3333
138,88.0081,92.6829,83.3333
139,88.0081,92.6829,83.3333
140,88.0081,92.6829,83.3333
141,88.0081,92.6829,83.3333
142,88.0081,92.6829,83.3333
143,88.0081,92.6829,83.3333
144,88.0081,92.6829,83.3333
145,88.0081,92.6829,83.3333
146,88.0081,92.6829,83.3333
147,88.3333,100,76.6667
148,88.3333,100,76.6667
149,88.4553,90.2439,86.6667
150,88.4553,90.2439,86.6667
151,88.4553,90.2439,86.6667
152,88.4553,90.2439,86.6667
153,88.4553,90.2439,86.6667
154,88.4553,90.2439,86.6667
155,88.4553,90.2439,86.6667
156,88.4553,90.2439,86.6667
157,88.4553,90.2439,86.6667
