n_gen,%agr,%clas,%red
0,55.4472,97.561,13.3333
1,56.2805,97.561,15
2,56.2805,97.561,15
3,57.1138,97.561,16.6667
4,57.1138,97.561,16.6667
5,57.1138,97.561,16.6667
6,57.1138,97.561,16.6667
7,57.1138,97.561,16.6667
8,57.1138,97.561,16.6667
9,57.9472,97.561,18.3333
10,57.9472,97.561,18.3333
11,58.7805,97.561,20
12,58.7805,97.561,20
13,58.7805,97.561,20
14,58.7805,97.561,20
15,59.6138,97.561,21.6667
16,59.6138,97.561,21.6667
17,60.4472,97.561,23.3333
18,60.4472,97.561,23.3333
19,61.2805,97.561,25
20,61.2805,97.561,25
21,61.2805,97.561,25
22,61.2805,97.561,25
23,61.2805,97.561,25
24,61.2805,97.561,25
25,61.2805,97.561,25
26,62.1138,97.561,26.6667
27,62.9472,97.561,28.3333
28,62.9472,97.561,28.3333
29,62.9472,97.561,28.3333
30,62.9472,97.561,28.3333
31,62.9472,97.561,28.3333
32,62.9472,97.561,28.3333
33,62.9472,97.561,28.3333
34,62.9472,97.561,28.3333
35,63.7805,97.561,30
36,63.7805,97.561,30
37,63.7805,97.561,30
38,63.7805,97.561,30
39,63.7805,97.561,30
40,63.7805,97.561,30
41,64.6138,97.561,31.6667
42,64.6138,97.561,31.6667
43,64.6138,97.561,31.6667
44,64.6138,97.561,31.6667
45,65.4472,97.561,33.3333
46,65.4472,97.561,33.3333
47,65.4472,97.561,33.3333
48,65.4472,97.561,33.3333
49,65.4472,97.561,33.3333
50,65.4472,97.561,33.3333
51,65.4472,97.561,33.3333
52,66.2805,97.561,35
53,66.2805,97.561,35
54,66.2805,97.561,35
55,66.2805,97.561,35
56,66.2805,97.561,35
57,66.2805,97.561,35
58,66.2805,97.561,35
59,66.2805,97.561,35
60,66.2805,97.561,35
61,66.2805,97.561,35
62,67.1138,97.561,36.6667
63,67.1138,97.561,36.6667
64,67.1138,97.561,36.6667
65,67.1138,97.561,36.6667
66,67.1138,97.561,36.6667
67,67.1138,97.561,36.6667
68,67.1138,97.561,36.6667
69,67.9472,97.561,38.3333
70,67.9472,97.561,38.3333
71,67.9472,97.561,38.3333
72,67.9472,97.561,38.3333
73,67.9472,97.561,38.3333
74,67.9472,97.561,38.3333
75,67.9472,97.561,38.3333
76,68.7805,97.561,40
77,68.7805,97.561,40
78,68.7805,97.561,40
79,68.7805,97.561,40
80,68.7805,97.561,40
81,68.7805,97.561,40
82,68.7805,97.561,40
83,68.7805,97.561,40
84,68.7805,97.561,40
85,68.7805,97.561,40
86,68.7805,97.561,40
87,68.7805,97.561,40
88,69.6138,97.561,41.6667
89,69.6138,97.561,41.6667
90,69.6138,97.561,41.6667
91,69.6138,97.561,41.6667
92,69.6138,97.561,41.6667
93,69.6138,97.561,41.6667
94,69.6138,97.561,41.6667
95,69.6138,97.561,41.6667
96,69.6138,97.561,41.6667
97,69.6138,97.561,41.6667
98,69.6138,97.561,41.6667
99,69.6138,97.561,41.6667
100,69.6138,97.561,41.6667
101,69.6138,97.561,41.6667
102,69.6138,97.561,41.6667
103,69.6138,97.561,41.6667
104,69.6138,97.561,41.6667
105,69.6138,97.561,41.6667
106,69.6138,97.561,41.6667
107,69.6138,97.561,41.6667
108,69.6138,97.561,41.6667
109,69.6138,97.561,41.6667
110,69.6138,97.561,41.6667
111,69.6138,97.561,41.6667
112,69.6138,97.561,41.6667
113,69.6138,97.561,41.6667
114,69.6138,97.561,41.6667
115,69.6138,97.561,41.6667
116,70.4472,97.561,43.3333
117,70.4472,97.561,43.3333
118,70.4472,97.561,43.3333
119,70.4472,97.561,43.3333
120,70.4472,97.561,43.3333
121,70.4472,97.561,43.3333
122,70.4472,97.561,43.3333
123,70.4472,97.561,43.3333
124,70.4472,97.561,43.3333
125,70.4472,97.561,43.3333
126,71.2805,97.561,45
127,71.2805,97.561,45
128,71.2805,97.561,45
129,71.2805,97.561,45
130,71.2805,97.561,45
131,71.2805,97.561,45
132,71.2805,97.561,45
133,71.2805,97.561,45
134,71.2805,97.561,45
135,71.2805,97.561,45
136,71.2805,97.561,45
137,71.2805,97.561,45
138,71.2805,97.561,45
139,71.2805,97.561,45
140,71.2805,97.561,45
141,71.2805,97.561,45
142,71.2805,97.561,45
143,71.2805,97.561,45
144,71.2805,97.561,45
145,71.2805,97.561,45
146,71.2805,97.561,45
147,71.2805,97.561,45
148,72.1138,97.561,46.6667
149,72.1138,97.561,46.6667
150,72.1138,97.561,46.6667
151,72.1138,97.561,46.6667
152,72.1138,97.561,46.6667
153,72.1138,97.561,46.6667
154,72.1138,97.561,46.6667
155,72.1138,97.561,46.6667
156,72.1138,97.561,46.6667
157,72.1138,97.561,46.6667
158,72.1138,97.561,46.6667
159,72.1138,97.561,46.6667
160,72.1138,97.561,46.6667
161,72.1138,97.561,46.6667
162,72.1138,97.561,46.6667
163,72.1138,97.561,46.6667
164,72.1138,97.561,46.6667
165,72.1138,97.561,46.6667
166,72.1138,97.561,46.6667
167,72.1138,97.561,46.6667
168,72.1138,97.561,46.6667
169,72.1138,97.561,46.6667
170,72.1138,97.561,46.6667
171,72.1138,97.561,46.6667
172,72.1138,97.561,46.6667
173,72.1138,97.561,46.6667
174,72.1138,97.561,46.6667
175,72.1138,97.561,46.6667
176,72.1138,97.561,46.6667
177,72.1138,97.561,46.6667
178,72.1138,97.561,46.6667
179,72.1138,97.561,46.6667
180,72.1138,97.561,46.6667
181,72.1138,97.561,46.6667
182,72.561,95.1219,50
183,72.561,95.1219,50
184,72.561,95.1219,50
185,72.561,95.1219,50
186,74.2276,95.1219,53.3333
187,74.6138,97.561,51.6667
188,74.6138,97.561,51.6667
189,74.6138,97.561,51.6667
190,74.6138,97.561,51.6667
191,74.6138,97.561,51.6667
192,74.6138,97.561,51.6667
193,74.6138,97.561,51.6667
194,74.6138,97.561,51.6667
195,74.6138,97.561,51.6667
196,74.6138,97.561,51.6667
197,74.6138,97.561,51.6667
198,74.6138,97.561,51.6667
199,74.6138,97.561,51.6667
200,75.4472,97.561,53.3333
201,75.4472,97.561,53.3333
202,75.4472,97.561,53.3333
203,75.4472,97.561,53.3333
204,75.4472,97.561,53.3333
205,75.4472,97.561,53.3333
206,75.4472,97.561,53.3333
207,75.4472,97.561,53.3333
208,75.4472,97.561,53.3333
209,75.4472,97.561,53.3333
210,75.4472,97.561,53.3333
211,75.4472,97.561,53.3333
212,75.4472,97.561,53.3333
213,76.2805,97.561,55
214,76.2805,97.561,55
215,76.2805,97.561,55
216,76.2805,97.561,55
217,76.2805,97.561,55
218,76.2805,97.561,55
219,76.2805,97.561,55
220,76.2805,97.561,55
221,76.2805,97.561,55
222,76.2805,97.561,55
223,76.2805,97.561,55
224,76.2805,97.561,55
225,76.2805,97.561,55
226,76.2805,97.561,55
227,76.2805,97.561,55
228,76.2805,97.561,55
229,76.2805,97.561,55
230,76.2805,97.561,55
231,76.2805,97.561,55
232,76.2805,97.561,55
233,77.1138,97.561,56.6667
234,77.1138,97.561,56.6667
235,77.1138,97.561,56.6667
236,77.1138,97.561,56.6667
237,77.1138,97.561,56.6667
238,77.1138,97.561,56.6667
239,77.1138,97.561,56.6667
240,77.9472,97.561,58.3333
241,77.9472,97.561,58.3333
242,77.9472,97.561,58.3333
243,77.9472,97.561,58.3333
244,77.9472,97.561,58.3333
245,77.9472,97.561,58.3333
246,77.9472,97.561,58.3333
247,77.9472,97.561,58.3333
248,77.9472,97.561,58.3333
249,77.9472,97.561,58.3333
250,77.9472,97.561,58.3333
251,77.9472,97.561,58.3333
252,77.9472,97.561,58.3333
253,77.9472,97.561,58.3333
254,77.9472,97.561,58.3333
255,77.9472,97.561,58.3333
256,77.9472,97.561,58.3333
257,77.9472,97.561,58.3333
258,77.9472,97.561,58.3333
259,77.9472,97.561,58.3333
260,77.9472,97.561,58.3333
261,77.9472,97.561,58.3333
262,77.9472,97.561,58.3333
263,77.9472,97.561,58.3333
264,78.7805,97.561,60
265,78.7805,97.561,60
266,78.7805,97.561,60
267,78.7805,97.561,60
268,78.7805,97.561,60
269,78.7805,97.561,60
270,78.7805,97.561,60
271,78.7805,97.561,60
272,78.7805,97.561,60
273,78.7805,97.561,60
274,78.7805,97.561,60
275,78.7805,97.561,60
276,78.7805,97.561,60
277,79.6138,97.561,61.6667
278,79.6138,97.561,61.6667
279,79.6138,97.561,61.6667
280,79.6138,97.561,61.6667
281,79.6138,97.561,61.6667
282,80.4472,97.561,63.3333
283,80.4472,97.561,63.3333
284,80.4472,97.561,63.3333
285,80.4472,97.561,63.3333
286,80.4472,97.561,63.3333
287,80.4472,97.561,63.3333
288,80.4472,97.561,63.3333
289,80.4472,97.561,63.3333
290,80.4472,97.561,63.3333
291,80.4472,97.561,63.3333
292,81.2805,97.561,65
293,81.2805,97.561,65
294,81.2805,97.561,65
295,81.2805,97.561,65
296,81.2805,97.561,65
297,81.2805,97.561,65
298,81.2805,97.561,65
299,81.2805,97.561,65
300,81.2805,97.561,65
301,81.2805,97.561,65
302,81.2805,97.561,65
303,81.2805,97.561,65
304,81.2805,97.561,65
305,81.2805,97.561,65
306,81.2805,97.561,65
307,81.2805,97.561,65
308,81.2805,97.561,65
309,81.2805,97.561,65
310,81.2805,97.561,65
311,81.2805,97.561,65
312,81.2805,97.561,65
313,81.2805,97.561,65
314,81.2805,97.561,65
315,81.2805,97.561,65
316,81.2805,97.561,65
317,81.2805,97.561,65
318,81.2805,97.561,65
319,82.1748,92.6829,71.6667
320,82.1748,92.6829,71.6667
321,84.2276,95.1219,73.3333
322,84.2276,95.1219,73.3333
323,84.2276,95.1219,73.3333
324,84.2276,95.1219,73.3333
325,84.2276,95.1219,73.3333
326,84.2276,95.1219,73.3333
327,84.2276,95.1219,73.3333
328,84.2276,95.1219,73.3333
329,84.2276,95.1219,73.3333
330,84.2276,95.1219,73.3333
331,84.2276,95.1219,73.3333
332,84.2276,95.1219,73.3333
333,84.2276,95.1219,73.3333
334,84.2276,95.1219,73.3333
335,84.2276,95.1219,73.3333
336,84.2276,95.1219,73.3333
337,84.2276,95.1219,73.3333
338,84.2276,95.1219,73.3333
339,84.2276,95.1219,73.3333
340,84.2276,95.1219,73.3333
341,84.2276,95.1219,73.3333
342,84.2276,95.1219,73.3333
343,84.2276,95.1219,73.3333
344,84.2276,95.1219,73.3333
345,85.061,95.1219,75
346,85.061,95.1219,75
347,85.061,95.1219,75
348,85.061,95.1219,75
349,85.061,95.1219,75
350,85.061,95.1219,75
351,85.061,95.1219,75
352,85.061,95.1219,75
353,85.061,95.1219,75
354,85.061,95.1219,75
355,85.061,95.1219,75
356,85.061,95.1219,75
357,85.061,95.1219,75
358,85.061,95.1219,75
359,85.061,95.1219,75
360,85.061,95.1219,75
361,85.061,95.1219,75
362,85.061,95.1219,75
363,85.8943,95.1219,76.6667
364,85.8943,95.1219,76.6667
365,85.8943,95.1219,76.6667
366,85.8943,95.1219,76.6667
367,85.8943,95.1219,76.6667
368,85.8943,95.1219,76.6667
369,85.8943,95.1219,76.6667
370,85.8943,95.1219,76.6667
371,86.7276,95.1219,78.3333
372,86.7276,95.1219,78.3333
373,86.7276,95.1219,78.3333
374,86.7276,95.1219,78.3333
375,86.7276,95.1219,78.3333
376,86.7276,95.1219,78.3333
377,86.7276,95.1219,78.3333
378,86.7276,95.1219,78.3333
379,86.7276,95.1219,78.3333
380,86.7276,95.1219,78.3333
381,86.7276,95.1219,78.3333
382,86.7276,95.1219,78.3333
