n_cooling,%agr,%clas,%red
0,68.4553,90.2439,46.6667
1,73.7805,97.561,50
2,75.061,95.1219,55
3,75.061,95.1219,55
4,75.061,95.1219,55
5,75.061,95.1219,55
6,75.061,95.1219,55
7,75.061,95.1219,55
8,75.061,95.1219,55
9,75.061,95.1219,55
10,75.061,95.1219,55
11,75.061,95.1219,55
12,76.7276,95.1219,58.3333
13,76.7276,95.1219,58.3333
14,76.7276,95.1219,58.3333
15,76.7276,95.1219,58.3333
16,76.7276,95.1219,58.3333
17,76.7276,95.1219,58.3333
18,76.7276,95.1219,58.3333
19,76.7276,95.1219,58.3333
20,77.9472,97.561,58.3333
21,77.9472,97.561,58.3333
22,77.9472,97.561,58.3333
23,77.9472,97.561,58.3333
24,77.9472,97.561,58.3333
25,77.9472,97.561,58.3333
26,77.9472,97.561,58.3333
27,77.9472,97.561,58.3333
28,77.9472,97.561,58.3333
29,77.9472,97.561,58.3333
30,77.9472,97.561,58.3333
31,77.9472,97.561,58.3333
32,77.9472,97.561,58.3333
33,77.9472,97.561,58.3333
34,77.9472,97.561,58.3333
35,77.9472,97.561,58.3333
36,77.9472,97.561,58.3333
37,77.9472,97.561,58.3333
38,77.9472,97.561,58.3333
39,77.9472,97.561,58.3333
40,77.9472,97.561,58.3333
41,77.9472,97.561,58.3333
42,77.9472,97.561,58.3333
43,77.9472,97.561,58.3333
44,77.9472,97.561,58.3333
45,77.9472,97.561,58.3333
46,77.9472,97.561,58.3333
47,77.9472,97.561,58.3333
48,77.9472,97.561,58.3333
49,77.9472,97.561,58.3333
50,78.3943,95.1219,61.6667
51,78.7805,97.561,60
52,78.7805,97.561,60
53,78.7805,97.561,60
54,78.7805,97.561,60
55,78.7805,97.561,60
56,78.7805,97.561,60
57,78.7805,97.561,60
58,78.7805,97.561,60
59,78.7805,97.561,60
60,78.7805,97.561,60
61,78.7805,97.561,60
62,78.7805,97.561,60
63,78.7805,97.561,60
64,78.7805,97.561,60
65,78.7805,97.561,60
66,78.7805,97.561,60
67,78.7805,97.561,60
68,78.7805,97.561,60
69,78.7805,97.561,60
70,78.7805,97.561,60
71,78.7805,97.561,60
72,78.7805,97.561,60
73,78.7805,97.561,60
74,78.7805,97.561,60
75,78.7805,97.561,60
76,78.7805,97.561,60
77,78.7805,97.561,60
78,78.7805,97.561,60
79,78.7805,97.561,60
80,78.7805,97.561,60
81,78.7805,97.561,60
82,78.7805,97.561,60
83,78.7805,97.561,60
84,78.7805,97.561,60
85,78.7805,97.561,60
86,78.7805,97.561,60
87,78.7805,97.561,60
88,78.7805,97.561,60
89,78.7805,97.561,60
90,78.7805,97.561,60
91,78.7805,97.561,60
92,78.7805,97.561,60
93,78.7805,97.561,60
94,78.7805,97.561,60
95,78.7805,97.561,60
96,78.7805,97.561,60
97,78.7805,97.561,60
98,78.7805,97.561,60
99,78.7805,97.561,60
100,78.7805,97.561,60
101,78.7805,97.561,60
102,78.7805,97.561,60
103,78.7805,97.561,60
104,78.7805,97.561,60
105,78.7805,97.561,60
106,78.7805,97.561,60
107,78.7805,97.561,60
108,78.7805,97.561,60
109,78.7805,97.561,60
110,78.7805,97.561,60
111,78.7805,97.561,60
112,78.7805,97.561,60
113,78.7805,97.561,60
114,78.7805,97.561,60
115,78.7805,97.561,60
116,78.7805,97.561,60
117,78.7805,97.561,60
118,78.7805,97.561,60
119,78.7805,97.561,60
120,78.7805,97.561,60
121,78.7805,97.561,60
122,78.7805,97.561,60
123,78.7805,97.561,60
124,78.7805,97.561,60
125,78.7805,97.561,60
126,78.7805,97.561,60
127,78.7805,97.561,60
128,78.7805,97.561,60
129,78.7805,97.561,60
130,78.7805,97.561,60
131,78.7805,97.561,60
132,78.7805,97.561,60
133,78.7805,97.561,60
134,78.7805,97.561,60
135,78.7805,97.561,60
136,78.7805,97.561,60
137,78.7805,97.561,60
138,78.7805,97.561,60
139,78.7805,97.561,60
140,78.7805,97.561,60
141,78.7805,97.561,60
142,78.7805,97.561,60
143,78.7805,97.561,60
