n_gen,%agr,%clas,%red
2,56.9699,85.8696,28.0702
3,61.6895,84.7826,38.5965
4,62.4428,88.0435,36.8421
5,62.4428,88.0435,36.8421
6,65.8276,91.3044,40.3509
7,65.8276,91.3044,40.3509
8,67.0385,90.2174,43.8596
9,68.4592,91.3044,45.614
10,68.5831,88.0435,49.1228
11,70.881,89.1304,52.6316
12,70.881,89.1304,52.6316
13,71.4245,90.2174,52.6316
14,71.4245,90.2174,52.6316
15,73.3886,92.3913,54.386
16,73.7224,91.3044,56.1404
17,73.7224,91.3044,56.1404
18,73.7224,91.3044,56.1404
19,73.7224,91.3044,56.1404
20,73.7224,91.3044,56.1404
21,73.7224,91.3044,56.1404
22,74.2658,92.3913,56.1404
23,74.2658,92.3913,56.1404
24,75.6865,93.4783,57.8947
25,76.0202,92.3913,59.6491
26,76.5637,93.4783,59.6491
27,76.5637,93.4783,59.6491
28,76.8974,92.3913,61.4035
29,76.8974,92.3913,61.4035
30,76.8974,92.3913,61.4035
31,76.8974,92.3913,61.4035
32,76.8974,92.3913,61.4035
33,76.8974,92.3913,61.4035
34,76.8974,92.3913,61.4035
35,76.8974,92.3913,61.4035
36,76.8974,92.3913,61.4035
37,76.8974,92.3913,61.4035
38,76.8974,92.3913,61.4035
39,76.8974,92.3913,61.4035
40,76.8974,92.3913,61.4035
41,76.8974,92.3913,61.4035
42,76.8974,92.3913,61.4035
43,76.8974,92.3913,61.4035
44,76.8974,92.3913,61.4035
45,76.8974,92.3913,61.4035
46,76.8974,92.3913,61.4035
47,76.8974,92.3913,61.4035
48,76.8974,92.3913,61.4035
49,76.8974,92.3913,61.4035
50,76.8974,92.3913,61.4035
51,77.2311,91.3044,63.1579
52,77.2311,91.3044,63.1579
53,77.2311,91.3044,63.1579
54,77.2311,91.3044,63.1579
55,77.2311,91.3044,63.1579
56,77.2311,91.3044,63.1579
57,77.2311,91.3044,63.1579
58,77.2311,91.3044,63.1579
59,77.2311,91.3044,63.1579
60,77.2311,91.3044,63.1579
61,77.2311,91.3044,63.1579
62,77.2311,91.3044,63.1579
63,77.2311,91.3044,63.1579
64,77.2311,91.3044,63.1579
65,77.2311,91.3044,63.1579
66,77.2311,91.3044,63.1579
67,77.2311,91.3044,63.1579
68,77.2311,91.3044,63.1579
69,77.2311,91.3044,63.1579
70,77.2311,91.3044,63.1579
71,77.2311,91.3044,63.1579
72,77.2311,91.3044,63.1579
73,77.2311,91.3044,63.1579
74,77.2311,91.3044,63.1579
75,77.2311,91.3044,63.1579
76,77.2311,91.3044,63.1579
77,78.1083,91.3044,64.9123
78,78.1083,91.3044,64.9123
79,78.6518,92.3913,64.9123
80,78.6518,92.3913,64.9123
81,78.6518,92.3913,64.9123
82,78.6518,92.3913,64.9123
83,78.6518,92.3913,64.9123
84,78.6518,92.3913,64.9123
85,78.6518,92.3913,64.9123
86,78.6518,92.3913,64.9123
87,78.6518,92.3913,64.9123
88,78.6518,92.3913,64.9123
89,78.6518,92.3913,64.9123
90,78.6518,92.3913,64.9123
91,78.6518,92.3913,64.9123
92,78.6518,92.3913,64.9123
93,78.6518,92.3913,64.9123
94,78.6518,92.3913,64.9123
95,78.6518,92.3913,64.9123
96,78.6518,92.3913,64.9123
97,78.6518,92.3913,64.9123
98,78.6518,92.3913,64.9123
99,78.6518,92.3913,64.9123
100,78.6518,92.3913,64.9123
101,78.6518,92.3913,64.9123
102,78.6518,92.3913,64.9123
103,78.6518,92.3913,64.9123
104,78.9855,91.3044,66.6667
105,79.529,92.3913,66.6667
106,79.529,92.3913,66.6667
107,79.529,92.3913,66.6667
108,79.529,92.3913,66.6667
109,79.529,92.3913,66.6667
110,79.529,92.3913,66.6667
111,80.4062,92.3913,68.4211
112,80.4062,92.3913,68.4211
113,80.4062,92.3913,68.4211
114,80.4062,92.3913,68.4211
115,80.4062,92.3913,68.4211
116,80.4062,92.3913,68.4211
117,80.4062,92.3913,68.4211
118,80.4062,92.3913,68.4211
119,80.4062,92.3913,68.4211
120,80.4062,92.3913,68.4211
121,80.4062,92.3913,68.4211
122,80.4062,92.3913,68.4211
123,80.4062,92.3913,68.4211
124,80.4062,92.3913,68.4211
125,80.4062,92.3913,68.4211
126,80.4062,92.3913,68.4211
127,81.2834,92.3913,70.1754
128,81.2834,92.3913,70.1754
129,81.2834,92.3913,70.1754
130,81.2834,92.3913,70.1754
131,81.2834,92.3913,70.1754
132,81.2834,92.3913,70.1754
133,81.2834,92.3913,70.1754
134,81.2834,92.3913,70.1754
135,81.2834,92.3913,70.1754
136,81.2834,92.3913,70.1754
137,81.2834,92.3913,70.1754
138,81.2834,92.3913,70.1754
139,81.2834,92.3913,70.1754
140,81.2834,92.3913,70.1754
141,81.2834,92.3913,70.1754
142,81.2834,92.3913,70.1754
143,81.2834,92.3913,70.1754
