n_gen,%agr,%clas,%red
2,52.2502,86.9565,17.5439
3,52.8318,79.3478,26.3158
4,59.058,84.7826,33.3333
5,59.058,84.7826,33.3333
6,59.058,84.7826,33.3333
7,60.3547,89.1304,31.5789
8,61.0221,86.9565,35.0877
9,61.0221,86.9565,35.0877
10,61.0221,86.9565,35.0877
11,61.0221,86.9565,35.0877
12,67.706,88.0435,47.3684
13,67.706,88.0435,47.3684
14,67.706,88.0435,47.3684
15,67.706,88.0435,47.3684
16,67.706,88.0435,47.3684
17,67.706,88.0435,47.3684
18,67.706,88.0435,47.3684
19,67.706,88.0435,47.3684
20,68.4592,91.3044,45.614
21,68.4592,91.3044,45.614
22,68.4592,91.3044,45.614
23,69.0027,92.3913,45.614
24,69.0027,92.3913,45.614
25,69.0027,92.3913,45.614
26,69.0027,92.3913,45.614
27,70.6712,86.9565,54.386
28,70.6712,86.9565,54.386
29,70.6712,86.9565,54.386
30,70.6712,86.9565,54.386
31,72.6354,89.1304,56.1404
32,72.6354,89.1304,56.1404
33,72.6354,89.1304,56.1404
34,72.6354,89.1304,56.1404
35,72.6354,89.1304,56.1404
36,72.6354,89.1304,56.1404
37,72.6354,89.1304,56.1404
38,72.6354,89.1304,56.1404
39,72.6354,89.1304,56.1404
40,73.3028,86.9565,59.6491
41,73.3028,86.9565,59.6491
42,73.3028,86.9565,59.6491
43,75.6007,88.0435,63.1579
44,75.6007,88.0435,63.1579
45,75.6007,88.0435,63.1579
46,75.6007,88.0435,63.1579
47,75.6007,88.0435,63.1579
48,76.6876,90.2174,63.1579
49,76.6876,90.2174,63.1579
50,76.6876,90.2174,63.1579
51,76.6876,90.2174,63.1579
52,76.6876,90.2174,63.1579
53,76.6876,90.2174,63.1579
54,76.6876,90.2174,63.1579
55,76.6876,90.2174,63.1579
56,76.6876,90.2174,63.1579
57,76.6876,90.2174,63.1579
58,76.6876,90.2174,63.1579
59,76.6876,90.2174,63.1579
60,77.5648,90.2174,64.9123
61,77.5648,90.2174,64.9123
62,77.5648,90.2174,64.9123
63,77.5648,90.2174,64.9123
64,79.4432,86.9565,71.9298
65,79.4432,86.9565,71.9298
66,79.4432,86.9565,71.9298
67,79.4432,86.9565,71.9298
68,79.4432,86.9565,71.9298
69,79.7387,94.5652,64.9123
70,79.7387,94.5652,64.9123
71,79.7387,94.5652,64.9123
72,79.7387,94.5652,64.9123
73,80.7399,91.3044,70.1754
74,80.7399,91.3044,70.1754
75,80.7399,91.3044,70.1754
76,80.7399,91.3044,70.1754
77,80.7399,91.3044,70.1754
78,80.7399,91.3044,70.1754
79,81.8269,93.4783,70.1754
80,82.828,90.2174,75.4386
81,82.828,90.2174,75.4386
82,82.828,90.2174,75.4386
83,82.828,90.2174,75.4386
84,82.828,90.2174,75.4386
85,82.828,90.2174,75.4386
86,82.828,90.2174,75.4386
87,82.828,90.2174,75.4386
88,83.2475,94.5652,71.9298
89,84.2487,91.3044,77.193
90,84.2487,91.3044,77.193
91,84.2487,91.3044,77.193
92,84.2487,91.3044,77.193
93,84.2487,91.3044,77.193
94,84.2487,91.3044,77.193
95,84.4584,93.4783,75.4386
96,84.4584,93.4783,75.4386
97,84.4584,93.4783,75.4386
98,84.4584,93.4783,75.4386
99,84.4584,93.4783,75.4386
100,84.4584,93.4783,75.4386
101,84.4584,93.4783,75.4386
102,85.0019,94.5652,75.4386
103,85.0019,94.5652,75.4386
104,85.0019,94.5652,75.4386
105,85.2498,88.0435,82.4561
106,86.3368,90.2174,82.4561
107,86.7563,94.5652,78.9474
108,86.7563,94.5652,78.9474
109,86.7563,94.5652,78.9474
110,86.7563,94.5652,78.9474
111,86.7563,94.5652,78.9474
112,87.09,93.4783,80.7018
113,87.09,93.4783,80.7018
114,87.214,90.2174,84.2105
115,87.214,90.2174,84.2105
