n_gen,%agr,%clas,%red
0,52.2502,86.9565,17.5439
1,52.2502,86.9565,17.5439
2,49.9523,85.8696,14.0351
3,50.286,84.7826,15.7895
4,49.8284,89.1304,10.5263
5,49.8284,89.1304,10.5263
6,49.4088,84.7826,14.0351
7,51.0393,88.0435,14.0351
8,50.9153,91.3044,10.5263
9,51.6686,94.5652,8.77193
10,51.6686,94.5652,8.77193
11,51.6686,94.5652,8.77193
12,52.46,89.1304,15.7895
13,53.423,94.5652,12.2807
14,53.0892,95.6522,10.5263
15,53.0892,95.6522,10.5263
16,53.423,94.5652,12.2807
17,53.423,94.5652,12.2807
18,53.423,94.5652,12.2807
19,53.9664,95.6522,12.2807
20,54.3002,94.5652,14.0351
21,54.8436,95.6522,14.0351
22,54.8436,95.6522,14.0351
23,54.8436,95.6522,14.0351
24,54.8436,95.6522,14.0351
25,54.8436,95.6522,14.0351
26,54.8436,95.6522,14.0351
27,53.9664,95.6522,12.2807
28,53.9664,95.6522,12.2807
29,53.9664,95.6522,12.2807
30,53.9664,95.6522,12.2807
31,53.9664,95.6522,12.2807
32,53.9664,95.6522,12.2807
33,54.3002,94.5652,14.0351
34,53.9664,95.6522,12.2807
35,53.9664,95.6522,12.2807
36,54.8436,95.6522,14.0351
37,54.8436,95.6522,14.0351
38,54.8436,95.6522,14.0351
39,55.1773,94.5652,15.7895
40,55.1773,94.5652,15.7895
41,55.1773,94.5652,15.7895
42,55.1773,94.5652,15.7895
43,55.1773,94.5652,15.7895
44,55.1773,94.5652,15.7895
45,55.1773,94.5652,15.7895
46,55.1773,94.5652,15.7895
47,56.0545,94.5652,17.5439
48,56.0545,94.5652,17.5439
49,56.0545,94.5652,17.5439
50,56.0545,94.5652,17.5439
51,56.0545,94.5652,17.5439
52,56.0545,94.5652,17.5439
53,56.0545,94.5652,17.5439
54,56.0545,94.5652,17.5439
55,56.0545,94.5652,17.5439
56,56.0545,94.5652,17.5439
57,56.9317,94.5652,19.2982
58,56.9317,94.5652,19.2982
59,56.9317,94.5652,19.2982
60,56.9317,94.5652,19.2982
61,57.8089,94.5652,21.0526
62,57.8089,94.5652,21.0526
63,57.8089,94.5652,21.0526
64,59.2296,95.6522,22.807
65,59.2296,95.6522,22.807
66,59.2296,95.6522,22.807
67,59.2296,95.6522,22.807
68,59.2296,95.6522,22.807
69,59.2296,95.6522,22.807
70,59.2296,95.6522,22.807
71,59.2296,95.6522,22.807
72,60.1068,95.6522,24.5614
73,60.1068,95.6522,24.5614
74,60.1068,95.6522,24.5614
75,59.2296,95.6522,22.807
76,59.2296,95.6522,22.807
77,59.2296,95.6522,22.807
78,59.2296,95.6522,22.807
79,59.2296,95.6522,22.807
80,60.1068,95.6522,24.5614
81,60.1068,95.6522,24.5614
82,60.1068,95.6522,24.5614
83,60.1068,95.6522,24.5614
84,60.1068,95.6522,24.5614
85,60.1068,95.6522,24.5614
86,60.1068,95.6522,24.5614
87,60.1068,95.6522,24.5614
88,60.1068,95.6522,24.5614
89,60.1068,95.6522,24.5614
90,60.1068,95.6522,24.5614
91,60.1068,95.6522,24.5614
92,60.984,95.6522,26.3158
93,60.1068,95.6522,24.5614
94,60.1068,95.6522,24.5614
95,60.1068,95.6522,24.5614
96,60.1068,95.6522,24.5614
97,60.1068,95.6522,24.5614
98,60.1068,95.6522,24.5614
99,60.1068,95.6522,24.5614
100,60.984,95.6522,26.3158
101,60.984,95.6522,26.3158
102,60.984,95.6522,26.3158
103,60.1068,95.6522,24.5614
104,60.1068,95.6522,24.5614
105,60.1068,95.6522,24.5614
106,60.1068,95.6522,24.5614
107,60.1068,95.6522,24.5614
108,60.1068,95.6522,24.5614
109,60.1068,95.6522,24.5614
110,60.984,95.6522,26.3158
111,60.984,95.6522,26.3158
112,60.984,95.6522,26.3158
113,60.984,95.6522,26.3158
114,61.5275,96.7391,26.3158
115,60.984,95.6522,26.3158
116,60.984,95.6522,26.3158
117,60.984,95.6522,26.3158
118,60.984,95.6522,26.3158
119,60.984,95.6522,26.3158
120,60.984,95.6522,26.3158
121,60.984,95.6522,26.3158
122,60.984,95.6522,26.3158
123,60.984,95.6522,26.3158
