n_cooling,%agr,%clas,%red
0,59.058,84.7826,33.3333
1,66.495,89.1304,43.8596
2,66.495,89.1304,43.8596
3,66.495,89.1304,43.8596
4,66.495,89.1304,43.8596
5,66.495,89.1304,43.8596
6,68.1255,92.3913,43.8596
7,68.1255,92.3913,43.8596
8,68.1255,92.3913,43.8596
9,68.7071,84.7826,52.6316
10,68.7071,84.7826,52.6316
11,72.3017,90.2174,54.386
12,72.3017,90.2174,54.386
13,72.3017,90.2174,54.386
14,72.3017,90.2174,54.386
15,72.3017,90.2174,54.386
16,72.3017,90.2174,54.386
17,72.3017,90.2174,54.386
18,72.3017,90.2174,54.386
19,72.3017,90.2174,54.386
20,72.3017,90.2174,54.386
21,72.3017,90.2174,54.386
22,72.3017,90.2174,54.386
23,72.3017,90.2174,54.386
24,72.3017,90.2174,54.386
25,72.3017,90.2174,54.386
26,72.3017,90.2174,54.386
27,72.5114,92.3913,52.6316
28,72.5114,92.3913,52.6316
29,72.5114,92.3913,52.6316
30,72.5114,92.3913,52.6316
31,72.5114,92.3913,52.6316
32,72.5114,92.3913,52.6316
33,72.5114,92.3913,52.6316
34,72.5114,92.3913,52.6316
35,72.5114,92.3913,52.6316
36,75.267,89.1304,61.4035
37,75.267,89.1304,61.4035
38,75.267,89.1304,61.4035
39,75.267,89.1304,61.4035
40,75.267,89.1304,61.4035
41,75.267,89.1304,61.4035
42,75.267,89.1304,61.4035
43,75.267,89.1304,61.4035
44,75.267,89.1304,61.4035
45,75.267,89.1304,61.4035
46,75.267,89.1304,61.4035
47,75.267,89.1304,61.4035
48,75.267,89.1304,61.4035
49,75.267,89.1304,61.4035
50,75.267,89.1304,61.4035
51,75.267,89.1304,61.4035
52,75.267,89.1304,61.4035
53,77.1453,85.8696,68.4211
54,77.1453,85.8696,68.4211
55,77.1453,85.8696,68.4211
56,77.1453,85.8696,68.4211
57,77.1453,85.8696,68.4211
58,77.1453,85.8696,68.4211
59,77.1453,85.8696,68.4211
60,77.1453,85.8696,68.4211
61,77.1453,85.8696,68.4211
62,77.1453,85.8696,68.4211
63,77.1453,85.8696,68.4211
64,77.1453,85.8696,68.4211
65,77.1453,85.8696,68.4211
66,77.1453,85.8696,68.4211
67,77.1453,85.8696,68.4211
68,77.1453,85.8696,68.4211
69,77.1453,85.8696,68.4211
70,77.1453,85.8696,68.4211
71,77.1453,85.8696,68.4211
72,77.1453,85.8696,68.4211
73,77.1453,85.8696,68.4211
74,77.1453,85.8696,68.4211
75,77.1453,85.8696,68.4211
76,77.1453,85.8696,68.4211
77,77.1453,85.8696,68.4211
78,77.1453,85.8696,68.4211
79,77.1453,85.8696,68.4211
80,77.1453,85.8696,68.4211
81,77.1453,85.8696,68.4211
82,77.1453,85.8696,68.4211
83,77.1453,85.8696,68.4211
84,77.1453,85.8696,68.4211
85,77.1453,85.8696,68.4211
86,77.1453,85.8696,68.4211
87,77.1453,85.8696,68.4211
88,77.1453,85.8696,68.4211
89,77.1453,85.8696,68.4211
90,77.1453,85.8696,68.4211
91,77.1453,85.8696,68.4211
92,77.1453,85.8696,68.4211
93,77.1453,85.8696,68.4211
94,77.1453,85.8696,68.4211
95,77.1453,85.8696,68.4211
96,77.1453,85.8696,68.4211
97,77.1453,85.8696,68.4211
98,77.1453,85.8696,68.4211
99,77.1453,85.8696,68.4211
100,77.1453,85.8696,68.4211
101,77.1453,85.8696,68.4211
102,77.1453,85.8696,68.4211
103,77.1453,85.8696,68.4211
104,77.1453,85.8696,68.4211
105,77.1453,85.8696,68.4211
106,77.1453,85.8696,68.4211
107,77.1453,85.8696,68.4211
108,77.1453,85.8696,68.4211
109,77.1453,85.8696,68.4211
110,77.1453,85.8696,68.4211
111,77.1453,85.8696,68.4211
112,77.1453,85.8696,68.4211
113,77.1453,85.8696,68.4211
114,77.1453,85.8696,68.4211
115,79.7769,85.8696,73.6842
116,79.7769,85.8696,73.6842
117,79.7769,85.8696,73.6842
118,79.7769,85.8696,73.6842
119,79.7769,85.8696,73.6842
120,79.7769,85.8696,73.6842
121,79.7769,85.8696,73.6842
122,79.7769,85.8696,73.6842
123,79.7769,85.8696,73.6842
124,79.7769,85.8696,73.6842
125,79.7769,85.8696,73.6842
126,79.7769,85.8696,73.6842
127,79.7769,85.8696,73.6842
128,79.7769,85.8696,73.6842
129,79.7769,85.8696,73.6842
130,79.7769,85.8696,73.6842
131,79.7769,85.8696,73.6842
132,79.7769,85.8696,73.6842
133,79.7769,85.8696,73.6842
134,80.9497,93.4783,68.4211
135,80.9497,93.4783,68.4211
136,80.9497,93.4783,68.4211
137,80.9497,93.4783,68.4211
138,80.9497,93.4783,68.4211
139,80.9497,93.4783,68.4211
140,80.9497,93.4783,68.4211
141,80.9497,93.4783,68.4211
142,80.9497,93.4783,68.4211
143,80.9497,93.4783,68.4211
144,80.9497,93.4783,68.4211
145,80.9497,93.4783,68.4211
146,80.9497,93.4783,68.4211
147,80.9497,93.4783,68.4211
148,80.9497,93.4783,68.4211
149,80.9497,93.4783,68.4211
150,80.9497,93.4783,68.4211
151,80.9497,93.4783,68.4211
152,80.9497,93.4783,68.4211
