n_gen,%agr,%clas,%red
2,65.6785,94.6903,36.6667
3,69.0118,94.6903,43.3333
4,69.0118,94.6903,43.3333
5,69.0118,94.6903,43.3333
6,72.7876,95.5752,50
7,74.4543,95.5752,53.3333
8,74.4543,95.5752,53.3333
9,74.8968,96.4602,53.3333
10,76.1209,95.5752,56.6667
11,77.3451,94.6903,60
12,77.3451,94.6903,60
13,78.6726,97.3451,60
14,78.6726,97.3451,60
15,80.3392,97.3451,63.3333
16,80.7817,98.2301,63.3333
17,80.7817,98.2301,63.3333
18,81.2242,99.115,63.3333
19,81.2242,99.115,63.3333
20,81.2242,99.115,63.3333
21,81.2242,99.115,63.3333
22,81.2242,99.115,63.3333
23,81.2242,99.115,63.3333
24,81.2242,99.115,63.3333
25,81.2242,99.115,63.3333
26,81.2242,99.115,63.3333
27,81.2242,99.115,63.3333
28,81.2242,99.115,63.3333
29,81.2242,99.115,63.3333
30,81.2242,99.115,63.3333
31,81.2242,99.115,63.3333
32,81.2242,99.115,63.3333
33,81.2242,99.115,63.3333
34,81.2242,99.115,63.3333
35,81.2242,99.115,63.3333
36,81.2242,99.115,63.3333
37,81.2242,99.115,63.3333
38,81.2242,99.115,63.3333
39,81.2242,99.115,63.3333
40,81.2242,99.115,63.3333
41,81.2242,99.115,63.3333
42,81.2242,99.115,63.3333
43,81.2242,99.115,63.3333
44,81.2242,99.115,63.3333
45,81.2242,99.115,63.3333
46,81.2242,99.115,63.3333
47,81.2242,99.115,63.3333
48,81.2242,99.115,63.3333
49,81.2242,99.115,63.3333
50,81.2242,99.115,63.3333
51,81.2242,99.115,63.3333
52,81.2242,99.115,63.3333
53,81.2242,99.115,63.3333
54,81.2242,99.115,63.3333
55,81.2242,99.115,63.3333
56,81.2242,99.115,63.3333
57,81.2242,99.115,63.3333
58,81.2242,99.115,63.3333
59,81.2242,99.115,63.3333
60,81.2242,99.115,63.3333
61,81.2242,99.115,63.3333
62,81.2242,99.115,63.3333
63,81.2242,99.115,63.3333
64,81.2242,99.115,63.3333
65,81.2242,99.115,63.3333
66,81.2242,99.115,63.3333
67,81.2242,99.115,63.3333
68,81.5634,96.4602,66.6667
69,82.0059,97.3451,66.6667
70,82.0059,97.3451,66.6667
71,84.115,98.2301,70
72,84.5575,99.115,70
73,84.5575,99.115,70
74,84.5575,99.115,70
75,85.7817,98.2301,73.3333
76,85.7817,98.2301,73.3333
77,85.7817,98.2301,73.3333
78,85.7817,98.2301,73.3333
79,85.7817,98.2301,73.3333
80,85.7817,98.2301,73.3333
81,85.7817,98.2301,73.3333
82,85.7817,98.2301,73.3333
83,85.7817,98.2301,73.3333
84,85.7817,98.2301,73.3333
85,85.7817,98.2301,73.3333
86,85.7817,98.2301,73.3333
87,85.7817,98.2301,73.3333
88,85.7817,98.2301,73.3333
89,85.7817,98.2301,73.3333
90,85.7817,98.2301,73.3333
91,85.7817,98.2301,73.3333
92,85.7817,98.2301,73.3333
93,85.7817,98.2301,73.3333
94,85.7817,98.2301,73.3333
95,85.7817,98.2301,73.3333
96,85.7817,98.2301,73.3333
97,85.7817,98.2301,73.3333
98,85.7817,98.2301,73.3333
99,85.7817,98.2301,73.3333
100,85.7817,98.2301,73.3333
101,85.7817,98.2301,73.3333
102,85.7817,98.2301,73.3333
103,85.7817,98.2301,73.3333
104,85.7817,98.2301,73.3333
105,85.7817,98.2301,73.3333
106,85.7817,98.2301,73.3333
107,85.7817,98.2301,73.3333
108,85.7817,98.2301,73.3333
109,85.7817,98.2301,73.3333
110,85.7817,98.2301,73.3333
111,85.7817,98.2301,73.3333
112,85.7817,98.2301,73.3333
113,85.7817,98.2301,73.3333
114,85.7817,98.2301,73.3333
115,85.7817,98.2301,73.3333
116,85.7817,98.2301,73.3333
117,85.7817,98.2301,73.3333
118,85.7817,98.2301,73.3333
119,87.8909,99.115,76.6667
120,87.8909,99.115,76.6667
121,87.8909,99.115,76.6667
122,87.8909,99.115,76.6667
123,87.8909,99.115,76.6667
124,87.8909,99.115,76.6667
125,87.8909,99.115,76.6667
126,87.8909,99.115,76.6667
127,87.8909,99.115,76.6667
128,87.8909,99.115,76.6667
129,87.8909,99.115,76.6667
130,87.8909,99.115,76.6667
131,87.8909,99.115,76.6667
132,87.8909,99.115,76.6667
133,87.8909,99.115,76.6667
134,87.8909,99.115,76.6667
135,87.8909,99.115,76.6667
136,87.8909,99.115,76.6667
137,87.8909,99.115,76.6667
138,87.8909,99.115,76.6667
139,87.8909,99.115,76.6667
140,87.8909,99.115,76.6667
141,87.8909,99.115,76.6667
142,87.8909,99.115,76.6667
143,87.8909,99.115,76.6667
144,87.8909,99.115,76.6667
145,87.8909,99.115,76.6667
146,87.8909,99.115,76.6667
147,87.8909,99.115,76.6667
148,87.8909,99.115,76.6667
149,87.8909,99.115,76.6667
150,87.8909,99.115,76.6667
151,87.8909,99.115,76.6667
152,87.8909,99.115,76.6667
153,87.8909,99.115,76.6667
154,87.8909,99.115,76.6667
155,87.8909,99.115,76.6667
156,87.8909,99.115,76.6667
157,87.8909,99.115,76.6667
158,87.8909,99.115,76.6667
159,87.8909,99.115,76.6667
160,87.8909,99.115,76.6667
161,87.8909,99.115,76.6667
162,87.8909,99.115,76.6667
163,87.8909,99.115,76.6667
164,87.8909,99.115,76.6667
165,87.8909,99.115,76.6667
166,87.8909,99.115,76.6667
167,87.8909,99.115,76.6667
168,87.8909,99.115,76.6667
169,87.8909,99.115,76.6667
170,87.8909,99.115,76.6667
171,87.8909,99.115,76.6667
172,87.8909,99.115,76.6667
173,87.8909,99.115,76.6667
174,87.8909,99.115,76.6667
175,87.8909,99.115,76.6667
176,87.8909,99.115,76.6667
177,87.8909,99.115,76.6667
