n_gen,%agr,%clas,%red
2,62.4786,98.2906,26.6667
3,67.0086,94.0171,40
4,71.1966,95.7265,46.6667
5,71.1966,95.7265,46.6667
6,71.1966,95.7265,46.6667
7,71.6239,96.5812,46.6667
8,72.4359,94.8718,50
9,72.4359,94.8718,50
10,72.4359,94.8718,50
11,73.7179,97.4359,50
12,74.5299,95.7265,53.3333
13,74.5299,95.7265,53.3333
14,76.5812,93.1624,60
15,76.5812,93.1624,60
16,79.9573,96.5812,63.3333
17,79.9573,96.5812,63.3333
18,82.4786,98.2906,66.6667
19,82.4786,98.2906,66.6667
20,82.4786,98.2906,66.6667
21,82.4786,98.2906,66.6667
22,87.0085,94.0171,80
23,87.0085,94.0171,80
24,87.0085,94.0171,80
25,87.0085,94.0171,80
26,87.0085,94.0171,80
27,87.0085,94.0171,80
28,87.4359,94.8718,80
29,87.4359,94.8718,80
30,87.4359,94.8718,80
31,87.4359,94.8718,80
32,87.4359,94.8718,80
33,87.4359,94.8718,80
34,87.8633,95.7265,80
35,87.8633,95.7265,80
36,89.1026,94.8718,83.3333
37,90.3419,94.0171,86.6667
38,90.3419,94.0171,86.6667
39,90.3419,94.0171,86.6667
40,90.3419,94.0171,86.6667
41,90.3419,94.0171,86.6667
42,90.3419,94.0171,86.6667
43,90.3419,94.0171,86.6667
44,90.3419,94.0171,86.6667
45,90.3419,94.0171,86.6667
46,90.3419,94.0171,86.6667
47,90.3419,94.0171,86.6667
48,91.1966,95.7265,86.6667
49,91.1966,95.7265,86.6667
50,91.1966,95.7265,86.6667
51,91.1966,95.7265,86.6667
52,91.5812,93.1624,90
53,92.8205,92.3077,93.3333
54,92.8205,92.3077,93.3333
55,93.7179,97.4359,90
56,93.7179,97.4359,90
57,93.7179,97.4359,90
58,93.7179,97.4359,90
59,93.7179,97.4359,90
60,94.1453,98.2906,90
61,94.1453,98.2906,90
62,94.1453,98.2906,90
63,94.1453,98.2906,90
64,94.1453,98.2906,90
65,94.1453,98.2906,90
66,94.1453,98.2906,90
67,94.1453,98.2906,90
68,94.1453,98.2906,90
69,94.1453,98.2906,90
70,94.5299,95.7265,93.3333
71,94.5299,95.7265,93.3333
72,94.5299,95.7265,93.3333
73,94.5299,95.7265,93.3333
74,94.5299,95.7265,93.3333
75,94.5299,95.7265,93.3333
76,94.5299,95.7265,93.3333
77,94.5299,95.7265,93.3333
78,94.5299,95.7265,93.3333
79,94.5299,95.7265,93.3333
80,94.5299,95.7265,93.3333
81,94.5299,95.7265,93.3333
82,94.5299,95.7265,93.3333
83,94.5299,95.7265,93.3333
84,94.5299,95.7265,93.3333
85,94.5299,95.7265,93.3333
86,94.5299,95.7265,93.3333
87,94.5299,95.7265,93.3333
88,94.5299,95.7265,93.3333
89,94.5299,95.7265,93.3333
90,94.5299,95.7265,93.3333
91,94.5299,95.7265,93.3333
92,94.5299,95.7265,93.3333
93,94.5299,95.7265,93.3333
94,94.5299,95.7265,93.3333
95,94.5299,95.7265,93.3333
96,94.5299,95.7265,93.3333
97,94.5299,95.7265,93.3333
98,94.5299,95.7265,93.3333
99,94.5299,95.7265,93.3333
100,94.5299,95.7265,93.3333
101,94.5299,95.7265,93.3333
102,94.5299,95.7265,93.3333
103,94.5299,95.7265,93.3333
104,94.5299,95.7265,93.3333
105,94.5299,95.7265,93.3333
106,94.5299,95.7265,93.3333
107,94.5299,95.7265,93.3333
108,94.5299,95.7265,93.3333
109,94.5299,95.7265,93.3333
110,94.5299,95.7265,93.3333
111,94.5299,95.7265,93.3333
112,94.5299,95.7265,93.3333
113,94.5299,95.7265,93.3333
114,94.5299,95.7265,93.3333
115,94.5299,95.7265,93.3333
116,94.5299,95.7265,93.3333
117,94.5299,95.7265,93.3333
118,94.5299,95.7265,93.3333
119,94.5299,95.7265,93.3333
120,94.5299,95.7265,93.3333
121,94.5299,95.7265,93.3333
122,94.5299,95.7265,93.3333
