n_gen,%agr,%clas,%red
0,59.0118,94.6903,23.3333
1,55.236,93.8053,16.6667
2,57.2419,91.1504,23.3333
3,57.3451,94.6903,20
4,56.9027,93.8053,20
5,56.9027,93.8053,20
6,58.5693,93.8053,23.3333
7,60.6785,94.6903,26.6667
8,59.351,92.0354,26.6667
9,59.351,92.0354,26.6667
10,60.236,93.8053,26.6667
11,59.0118,94.6903,23.3333
12,61.9027,93.8053,30
13,61.9027,93.8053,30
14,61.9027,93.8053,30
15,62.3451,94.6903,30
16,62.3451,94.6903,30
17,62.3451,94.6903,30
18,63.5693,93.8053,33.3333
19,63.5693,93.8053,33.3333
20,63.5693,93.8053,33.3333
21,63.9086,91.1504,36.6667
22,64.0118,94.6903,33.3333
23,64.0118,94.6903,33.3333
24,64.0118,94.6903,33.3333
25,64.0118,94.6903,33.3333
26,64.0118,94.6903,33.3333
27,64.0118,94.6903,33.3333
28,64.0118,94.6903,33.3333
29,64.0118,94.6903,33.3333
30,64.0118,94.6903,33.3333
31,64.0118,94.6903,33.3333
32,64.0118,94.6903,33.3333
33,64.0118,94.6903,33.3333
34,64.0118,94.6903,33.3333
35,64.0118,94.6903,33.3333
36,64.0118,94.6903,33.3333
37,64.0118,94.6903,33.3333
38,64.0118,94.6903,33.3333
39,64.0118,94.6903,33.3333
40,64.0118,94.6903,33.3333
41,64.0118,94.6903,33.3333
42,64.0118,94.6903,33.3333
43,64.0118,94.6903,33.3333
44,65.6785,94.6903,36.6667
45,65.6785,94.6903,36.6667
46,65.6785,94.6903,36.6667
47,65.6785,94.6903,36.6667
48,65.6785,94.6903,36.6667
49,65.6785,94.6903,36.6667
50,65.6785,94.6903,36.6667
51,65.6785,94.6903,36.6667
52,65.6785,94.6903,36.6667
53,65.6785,94.6903,36.6667
54,65.6785,94.6903,36.6667
55,65.6785,94.6903,36.6667
56,65.6785,94.6903,36.6667
57,65.6785,94.6903,36.6667
58,65.6785,94.6903,36.6667
59,65.6785,94.6903,36.6667
60,65.6785,94.6903,36.6667
61,65.6785,94.6903,36.6667
62,65.6785,94.6903,36.6667
63,65.6785,94.6903,36.6667
64,65.6785,94.6903,36.6667
65,65.6785,94.6903,36.6667
66,65.6785,94.6903,36.6667
67,65.6785,94.6903,36.6667
68,65.6785,94.6903,36.6667
69,65.6785,94.6903,36.6667
70,65.6785,94.6903,36.6667
71,65.6785,94.6903,36.6667
72,65.6785,94.6903,36.6667
73,65.6785,94.6903,36.6667
74,65.6785,94.6903,36.6667
75,65.6785,94.6903,36.6667
76,65.6785,94.6903,36.6667
77,65.6785,94.6903,36.6667
78,65.6785,94.6903,36.6667
79,65.6785,94.6903,36.6667
80,66.4602,92.9203,40
81,66.4602,92.9203,40
82,66.4602,92.9203,40
83,66.4602,92.9203,40
84,66.4602,92.9203,40
