n_cooling,%agr,%clas,%red
0,69.1026,94.8718,43.3333
1,69.1026,94.8718,43.3333
2,74.9145,93.1624,56.6667
3,74.9145,93.1624,56.6667
4,74.9145,93.1624,56.6667
5,76.1539,92.3077,60
6,77.3932,91.453,63.3333
7,77.3932,91.453,63.3333
8,77.3932,91.453,63.3333
9,77.3932,91.453,63.3333
10,77.3932,91.453,63.3333
11,77.3932,91.453,63.3333
12,77.3932,91.453,63.3333
13,77.3932,91.453,63.3333
14,77.3932,91.453,63.3333
15,77.3932,91.453,63.3333
16,77.3932,91.453,63.3333
17,77.3932,91.453,63.3333
18,77.3932,91.453,63.3333
19,77.3932,91.453,63.3333
20,77.3932,91.453,63.3333
21,77.3932,91.453,63.3333
22,77.3932,91.453,63.3333
23,77.3932,91.453,63.3333
24,77.3932,91.453,63.3333
25,77.3932,91.453,63.3333
26,77.3932,91.453,63.3333
27,77.3932,91.453,63.3333
28,79.4872,92.3077,66.6667
29,79.8718,89.7436,70
30,82.8633,95.7265,70
31,82.8633,95.7265,70
32,82.8633,95.7265,70
33,82.8633,95.7265,70
34,82.8633,95.7265,70
35,82.8633,95.7265,70
36,82.8633,95.7265,70
37,82.8633,95.7265,70
38,82.8633,95.7265,70
39,82.8633,95.7265,70
40,82.8633,95.7265,70
41,82.8633,95.7265,70
42,82.8633,95.7265,70
43,82.8633,95.7265,70
44,82.8633,95.7265,70
45,82.8633,95.7265,70
46,82.8633,95.7265,70
47,82.8633,95.7265,70
48,84.5299,95.7265,73.3333
49,84.5299,95.7265,73.3333
50,84.5299,95.7265,73.3333
51,84.5299,95.7265,73.3333
52,84.5299,95.7265,73.3333
53,84.5299,95.7265,73.3333
54,84.5299,95.7265,73.3333
55,84.5299,95.7265,73.3333
56,84.5299,95.7265,73.3333
57,84.5299,95.7265,73.3333
58,84.5299,95.7265,73.3333
59,84.5299,95.7265,73.3333
60,84.5299,95.7265,73.3333
61,84.5299,95.7265,73.3333
62,84.5299,95.7265,73.3333
63,84.5299,95.7265,73.3333
64,84.5299,95.7265,73.3333
65,84.5299,95.7265,73.3333
66,84.5299,95.7265,73.3333
67,84.5299,95.7265,73.3333
68,84.5299,95.7265,73.3333
69,84.5299,95.7265,73.3333
70,84.5299,95.7265,73.3333
71,84.5299,95.7265,73.3333
72,84.5299,95.7265,73.3333
73,84.5299,95.7265,73.3333
74,84.5299,95.7265,73.3333
75,84.5299,95.7265,73.3333
76,84.5299,95.7265,73.3333
77,84.5299,95.7265,73.3333
78,84.5299,95.7265,73.3333
79,84.5299,95.7265,73.3333
80,84.5299,95.7265,73.3333
81,84.5299,95.7265,73.3333
82,84.9573,96.5812,73.3333
83,84.9573,96.5812,73.3333
84,84.9573,96.5812,73.3333
85,84.9573,96.5812,73.3333
86,84.9573,96.5812,73.3333
87,84.9573,96.5812,73.3333
88,84.9573,96.5812,73.3333
89,86.5812,93.1624,80
90,87.8205,92.3077,83.3333
91,87.8205,92.3077,83.3333
92,87.8205,92.3077,83.3333
93,87.8205,92.3077,83.3333
94,87.8205,92.3077,83.3333
95,87.8205,92.3077,83.3333
96,87.8205,92.3077,83.3333
97,87.8205,92.3077,83.3333
98,87.8205,92.3077,83.3333
99,87.8205,92.3077,83.3333
100,87.8205,92.3077,83.3333
101,87.8205,92.3077,83.3333
102,88.2906,96.5812,80
103,88.2906,96.5812,80
104,88.2906,96.5812,80
105,88.2906,96.5812,80
106,88.2906,96.5812,80
107,88.2906,96.5812,80
108,88.2906,96.5812,80
109,88.2906,96.5812,80
110,88.2906,96.5812,80
111,88.2906,96.5812,80
112,88.2906,96.5812,80
113,88.2906,96.5812,80
114,88.2906,96.5812,80
115,88.2906,96.5812,80
